S#,Country,Region,Daily_Oil_Consumption(Barrels),World_Share,Yearly_Gallons_Per_Capita,Price_Per_Gallon(USD),Price_Per_Liter(USD),Price_Per_Liter(PKR),GDP_Per_Capita(USD),Gallons_GDP_Per_Capita_Can_Buy,xTimes_Yearly_Gallons_Per_Capita_Buy
118,Uganda,Africa,32001,0.00,12.4,5.70,1.51,318.52,817,143,12
119,Estonia,Europe,28855,0.00,336.0,8.35,2.21,466.57,23027,2758,8
120,Zimbabwe,Africa,24000,0.00,26.2,6.13,1.62,342.42,1128,184,7
121,Georgia,Asia,33000,0.00,126.0,5.04,1.33,281.51,4279,849,7
122,State of Palestine,Asia,24001,0.00,79.4,6.62,1.75,370.13,3240,489,6
123,Namibia,Africa,26000,0.00,169.0,4.80,1.27,268.18,4211,877,5
124,Albania,Europe,27000,0.00,143.4,8.00,2.11,447.11,5215,652,5
125,Mauritius,Africa,28000,0.00,340.2,6.36,1.68,355.32,8628,1357,4
126,Brunei ,Asia,16000,0.00,584.3,0.83,0.22,46.53,27443,33064,57
127,Macao,Asia,17110,0.00,428.0,5.42,1.43,302.87,86117,15889,37
128,Dem. Rep. Congo,Africa,21000,0.00,4.1,4.43,1.17,247.46,557,126,31
129,Haiti,North America,23000,0.00,32.5,2.18,0.58,122.04,1177,540,17
130,Gabon,Africa,21000,0.00,160.3,3.65,0.97,204.10,7006,1919,12
131,Madagascar,Africa,18000,0.00,11.1,3.86,1.02,215.94,496,128,12
132,Botswana,Africa,21000,0.00,149.0,4.29,1.13,239.42,6711,1564,10
133,Burkina Faso,Africa,23000,0.00,18.9,4.33,1.14,241.74,831,192,10
134,Moldova,Europe,18001,0.00,67.9,6.75,1.78,376.89,4551,674,10
135,Mali,Africa,21999,0.00,18.8,4.61,1.22,257.61,859,186,10
136,Congo,Africa,17000,0.00,52.3,3.94,1.04,219.96,1973,501,10
137,Togo,Africa,15000,0.00,30.6,3.18,0.84,177.45,915,288,9
138,Guinea,Africa,19001,0.00,24.8,5.13,1.36,286.79,1194,233,9
139,Zambia,Africa,22000,0.00,20.6,5.59,1.48,312.60,1051,188,9
140,Laos,Asia,18000,0.00,40.3,7.23,1.91,403.75,2630,364,9
141,Mongolia,Asia,21000,0.00,105.3,4.67,1.23,260.78,4007,858,8
142,Iceland,Europe,19090,0.00,880.9,9.83,2.60,549.48,59270,6030,7
143,North Macedonia,Europe,21000,0.00,154.7,7.12,1.88,397.62,5888,827,5
144,Bahamas,North America,20036,0.00,812.7,6.48,1.71,361.88,25194,3888,5
145,Tajikistan,Asia,21000,0.00,37.2,5.94,1.57,332.06,859,145,4
146,New Caledonia,Oceania,20000,0.00,1118.2,8.19,2.16,457.47,34789,4248,4
147,Fiji,Oceania,16000,0.00,281.2,5.27,1.39,294.41,4882,926,3
148,North Korea,Asia,18000,0.00,10.9,54.89,14.50,3066.75,1300,24,2
149,Armenia,Asia,6000,0.00,31.3,4.77,1.26,266.49,4268,895,29
150,Malawi,Africa,6001,0.00,5.3,5.12,1.35,285.95,625,122,23
151,S. Sudan,Africa,8001,0.00,11.3,4.80,1.27,268.18,1120,233,21
152,Rwanda,Africa,6700,0.00,8.8,5.36,1.42,299.27,798,149,17
153,Somalia,Africa,5600,0.00,6.1,3.03,0.80,169.20,309,102,17
154,Montenegro,Europe,7000,0.00,171.1,6.46,1.71,361.03,7677,1188,7
155,Sierra Leone,Africa,6500,0.00,13.6,5.17,1.37,288.91,485,94,7
156,Guyana,South America,14000,0.00,278.2,4.60,1.22,257.18,6956,1512,5
157,Maldives,Asia,11000,0.00,354.6,3.60,0.95,201.14,6924,1923,5
158,Liberia,Africa,8000,0.00,26.7,4.90,1.30,273.89,583,119,4
159,Suriname,South America,13000,0.00,352.8,4.26,1.13,237.94,6491,1524,4
160,Aruba,North America,8000,0.00,1169.4,6.08,1.61,339.67,30253,4976,4
161,Lesotho,Africa,5001,0.00,36.9,5.68,1.50,317.46,861,152,4
162,Barbados,North America,11001,0.00,590.1,8.27,2.18,461.92,15374,1859,3
163,Cabo Verde,Africa,5600,0.00,161.6,6.86,1.81,383.24,3064,447,3
164,Seychelles,Africa,7299,0.00,1169.1,6.90,1.82,385.35,10764,1560,1
165,Burundi,Africa,1499,0.00,2.2,5.09,1.34,284.26,274,54,24
166,British Virgin Islands,North America,1240,0.00,647.6,3.60,0.95,200.93,34246,9513,15
167,Cayman Islands,North America,4401,0.00,1078.3,6.27,1.66,350.24,85083,13570,13
168,Bhutan,Asia,3001,0.00,62.4,4.46,1.18,249.15,3122,700,11
